ID,IV,A,TR,QV,SO,F3,F6,F9,S1,S3,S6,S7,S9,PI,PP,P6,P12,RF1,RF2,RF3,RF4,RF5,Target
2164137,0,0,NA,0,0,0,0,0,0,0,0,27,0,0,0,-99,-99,0,0,0,1,0,1
1189730,2,0,12,1,0,0,0,0,2,2,6,27,7,0,0,0.82,0.79,1,0,0,1,0,0
2188839,0,1,2,0,0,10,10,10,0,0,0,27,0,0,0,-99,-99,1,0,0,1,0,0
1207267,1,0,12,0,0,0,0,0,0,0,0,27,0,0,0,0.82,0.79,0,0,0,1,0,0
1619584,-1,0,2,0,1,88,88,88,35,72,72,27,72,0,8,0.62,0.62,1,0,0,1,0,1
1441015,20,0,4,0,0,10,10,20,0,10,10,27,26,0,0,0.73,0.78,0,0,0,1,0,1
1651486,8,0,2,0,0,0,0,0,0,0,0,27,0,0,0,1,0.99,1,0,0,1,0,0
1117857,2,0,8,0,0,0,0,0,0,0,0,27,1,0,0,0.96,0.93,1,0,0,1,0,0
2983021,7,0,8,0,0,0,4,8,1,4,8,27,11,0,0,1,0.92,0,0,0,1,0,0
3116303,77,1,8,0,0,0,0,0,0,0,1,27,3,0,0,0.98,0.98,1,0,1,1,0,0
2049990,10,12,12,0,0,62,109,154,16,48,103,27,151,0,0,0.78,0.78,0,0,0,1,0,1
1443894,2049,44,8,11,0,0,0,0,38,123,230,27,330,0,0,0.52,0.69,0,0,0,1,0,0
1810849,48,0,8,0,0,0,0,0,1,1,1,27,1,0,0,0.59,0.78,1,0,0,1,0,0
2264999,318,2,9,0,0,0,0,0,0,1,2,27,2,0,0,0.94,0.79,1,0,0,0,0,0
1931676,62,4,2,0,0,0,15,30,7,24,42,27,71,0,0,0.51,0.47,0,0,0,1,0,0
2070885,2,0,8,0,0,0,0,1,0,0,2,27,2,0,0,0.82,0.81,0,0,0,1,0,0
1717473,-1,0,8,0,1,24,32,48,2,14,24,27,32,0,0,0.51,0.53,0,0,0,1,0,1
1104222,0,0,8,0,0,9,14,21,5,17,36,27,43,0,0,0.96,0.98,0,0,0,1,0,1
1566137,6648,2327,6,1404,0,11604,23532,35880,10516,25726,52263,27,87824,0,0,0.74,0.5,0,0,0,1,0,0
2899553,1,1,8,1,0,1,2,3,1,1,3,27,4,0,0,0.97,0.97,0,0,0,1,0,1
3265646,10,3,8,0,0,3,12,21,3,13,20,27,33,0,0,0.98,0.98,0,0,0,1,0,0
2809957,22,0,8,1,0,0,0,3,5,13,34,27,51,0,0,0.99,0.99,0,0,0,1,0,0
1513739,0,1,8,0,0,3,5,6,1,1,3,27,3,0,0,0.1,0.13,0,0,0,1,0,1
2090175,1,0,8,0,0,19,19,28,1,6,12,27,18,0,5,0.05,0.15,0,0,0,1,0,1
1126661,0,0,8,0,0,5,5,5,0,0,3,27,6,0,0,0.15,0.34,0,0,0,1,0,1
1240251,160,43,8,13,0,0,120,180,15,59,150,27,238,0,0,1,1,0,0,0,1,0,0
1784378,8,0,12,0,0,0,0,0,0,0,0,27,0,0,0,0.74,0.74,0,0,0,1,0,0
1533473,87,2,17,0,0,0,0,29,4,8,35,27,58,0,0,0.26,0.34,0,0,0,1,0,0
1827410,0,6,8,0,0,36,36,54,5,18,33,27,53,0,0,0.96,0.96,0,0,0,1,0,1
1815922,3,3,4,0,0,29,29,29,2,6,17,27,40,0,0,0.98,0.98,0,0,0,1,0,1
2031516,0,0,8,0,0,4,6,8,0,1,4,27,6,0,0,0.85,0.56,0,0,1,1,0,1
1619727,183,3,NA,0,0,0,0,0,3,5,11,27,21,0,0,-99,-99,1,0,1,0,0,0
1769197,0,0,9,0,0,0,0,0,0,0,0,27,0,0,0,0.92,0.83,0,0,0,1,0,0
2945267,14,0,4,0,0,0,0,0,0,0,0,27,0,0,0,0.73,0.78,0,0,0,1,0,0
3004351,28,2,8,0,0,0,0,0,2,4,9,27,20,0,0,0.95,0.96,0,0,0,1,0,0
3132353,7,1,4,0,0,0,0,0,0,0,0,27,0,0,0,0.22,0.15,1,0,0,1,0,0
2208038,6,0,2,0,0,3,3,3,0,3,3,27,3,0,0,0.88,0.9,1,0,0,1,0,0
2286638,70,64,8,1,0,1250,1250,1250,4,35,153,27,336,0,0,-99,0,0,0,0,1,0,0
3126012,54,19,8,0,0,0,48,48,7,21,55,27,82,0,0,0.53,0.54,0,0,1,1,0,0
1705146,2,0,8,0,0,0,1,3,0,0,2,27,4,0,0,0.17,0.33,0,0,0,1,0,0
1379887,1,1,8,0,0,18,28,38,9,15,24,27,36,0,0,0.98,0.99,0,0,0,1,0,1
2175794,14,0,2,0,0,0,0,0,2,5,6,27,6,0,0,0.99,0.98,1,0,0,1,0,0
1686506,12,4,8,1,0,5,5,10,7,10,20,27,27,0,0,0.98,0.94,0,0,0,1,0,1
2121758,4995,1,12,0,0,0,0,0,0,0,5,27,5,0,0,0.94,0.87,0,0,0,1,0,0
2268595,20,2,8,0,0,0,0,0,0,2,3,27,6,0,0,0.28,0.37,0,0,0,1,0,0
1321868,1,0,8,0,0,0,1,1,0,0,1,27,1,0,0,1,0.98,0,0,0,1,0,0
1799884,0,0,2,0,0,16,27,49,2,8,13,27,17,0,0,0.42,0.36,0,0,0,1,0,1
2136569,13,1,12,2,0,0,0,0,0,0,0,27,0,0,0,0.48,0.48,1,0,0,1,0,0
2966418,3,6,8,0,0,6,10,15,1,6,9,27,9,0,0,0.79,0.66,0,0,0,1,0,0
2922449,11,0,2,0,0,0,0,0,0,0,0,27,0,0,0,0.18,0.33,1,0,0,1,0,0
1863436,0,85,2,0,0,1017,1647,1807,0,0,0,27,0,0,0,0.79,0.66,1,0,0,1,0,1
1305670,4,0,2,2,0,0,2,2,0,0,0,27,0,0,0,0.98,0.95,1,0,0,1,0,0
3043213,0,4,9,0,0,17,25,34,3,7,14,27,19,0,0,0.54,0.48,0,0,0,1,0,1
1505677,181,82,8,94,0,240,480,720,84,238,435,27,725,0,0,0.93,0.94,0,0,0,1,0,0
2807874,4,0,8,0,0,0,0,0,1,3,3,27,3,0,0,0.82,0.84,0,0,0,1,0,0
1714458,2,1,8,0,0,0,0,0,0,0,0,27,0,0,0,1,1,0,0,0,1,0,0
1918759,0,0,2,0,0,54,54,54,0,0,0,27,0,0,0,1,0.98,1,0,1,1,0,1
1595109,14,0,2,0,0,0,0,0,0,0,0,27,0,0,0,0.77,0.81,1,0,0,1,0,0
2067360,175,70,2,53,0,174,398,622,53,191,350,27,507,0,0,1,0.99,0,0,0,1,0,0
1281782,177,8,8,0,0,0,0,0,0,4,14,27,14,0,0,1,0.99,0,0,0,1,0,0
1883405,4,0,8,0,0,38,73,122,17,43,78,27,100,0,0,0.07,0.07,0,0,0,1,0,1
2005966,41,0,9,0,0,0,0,0,0,0,0,27,0,0,0,0.87,0.72,0,0,0,1,0,0
1292373,450,501,8,168,0,1260,2268,2928,638,1401,2754,27,4665,0,0,0.98,0.63,0,0,0,1,0,0
1926326,0,0,4,0,0,10,10,10,0,0,0,27,0,0,0,0.79,0.66,1,0,1,1,0,0
1114662,48,0,8,0,0,0,0,0,0,0,1,27,1,0,0,0.7,0.64,0,0,0,1,0,0
1347403,0,2,8,0,0,3,5,6,8,9,11,27,11,0,0,0.88,0.9,0,0,1,1,0,1
1629440,8915,188,16,0,0,0,0,0,139,533,959,27,1400,0,0,0.97,0.96,0,0,0,1,0,0
1351269,2,3,NA,0,0,0,0,0,0,4,9,27,9,0,0,-99,-99,0,0,0,1,0,0
1669978,18,0,2,0,0,0,0,0,1,2,13,27,17,0,0,0.99,0.98,1,0,0,1,0,1
2050358,1,0,8,2,0,13,25,35,4,15,21,27,33,0,0,0.97,0.94,0,0,0,1,0,1
1248590,47,12,8,30,0,54,127,189,15,55,110,27,165,0,0,0.43,0.46,0,0,0,1,0,0
1123209,12,0,2,0,0,12,36,60,7,13,30,27,48,0,0,0.98,0.95,0,0,1,1,0,1
2203156,1,0,8,1,0,1,3,5,1,2,3,27,5,0,0,0.98,0.95,0,0,0,1,0,0
2018375,14,0,4,0,0,0,0,0,0,0,0,27,0,0,0,0.63,0.72,0,0,0,1,0,0
3268164,1,0,8,0,0,0,0,0,0,0,0,27,0,0,0,0.92,0.95,0,0,0,1,0,0
3254025,9,2,8,0,0,0,0,0,0,1,3,27,4,0,0,1,0.99,0,0,0,1,0,0
2078666,405,95,8,336,0,1578,2418,3258,591,1481,2683,27,4146,0,0,0.9,0.92,0,0,0,1,0,0
2860439,0,0,12,0,0,10,10,14,0,3,9,27,15,0,0,0.73,0.79,0,0,0,1,0,1
1620503,58,22,8,80,25,250,450,700,70,239,431,27,4136,0,0,0.82,0.91,0,0,0,1,0,1
1494927,3,0,8,0,0,4,8,12,2,3,8,27,13,0,0,1,0.95,0,0,0,1,0,1
2070894,19,0,9,0,0,0,0,0,0,1,2,27,8,0,0,0.99,0.99,0,0,0,1,0,0
3090500,97,63,8,99,0,180,468,804,65,299,640,27,894,0,0,0.31,0.2,0,0,0,1,0,0
3029039,5,0,8,0,0,0,7,7,0,2,3,27,4,0,0,0.95,0.97,0,0,0,1,0,0
1613702,6,7,2,9,0,27,54,81,10,25,48,27,71,0,0,0.99,0.93,0,0,0,1,0,1
1743628,0,0,8,0,0,0,0,0,0,0,0,27,0,0,0,0.97,0.94,0,0,0,1,0,0
2902289,1005,1,8,0,0,0,0,0,2,2,4,27,8,0,0,0.66,0.66,0,0,1,1,0,0
2877095,6,1,2,0,0,10,10,10,2,3,3,27,3,0,0,0.97,0.95,0,0,0,1,0,1
2067676,290,244,2,65,0,493,925,1339,137,555,774,27,781,0,0,0.79,0.87,0,0,0,1,0,0
1644815,4,0,8,0,0,0,0,0,0,0,0,27,0,0,0,0.56,0.46,0,0,1,1,0,0
3106331,4,0,12,0,0,0,0,0,1,2,3,27,4,0,0,0.37,0.34,1,0,0,1,0,0
1444213,0,0,8,0,0,13,23,28,8,17,28,27,43,0,0,0.61,0.57,0,0,0,1,0,1
3013174,3,1,12,0,0,0,0,0,0,0,0,27,0,0,0,0.77,0.73,0,0,0,1,0,0
1770755,2260,80,8,0,0,0,0,0,55,201,477,27,751,0,0,0.89,0.88,0,0,0,1,0,0
3109658,6,0,2,0,0,9,18,27,4,12,21,27,29,0,3,0.13,0.17,0,0,0,1,0,0
1438345,16,1,2,0,0,0,0,0,0,0,0,27,0,0,0,0.93,0.94,0,0,0,1,0,1
1973204,2,0,8,0,0,0,0,0,0,0,0,27,0,0,0,0.8,0.82,1,0,0,1,0,0
2008795,19,1,12,14,0,0,0,14,3,10,30,27,55,0,0,0.98,0.98,0,0,0,1,0,0
2842509,17,0,8,1,0,48,81,81,0,0,0,27,0,0,0,0.97,0.96,0,0,0,1,0,0
2095809,19,0,8,0,0,0,0,0,0,0,0,27,0,0,0,0.77,0.74,0,0,0,1,0,0
1809812,0,0,2,0,0,3,3,3,0,0,0,27,0,0,0,0,0,1,0,1,1,0,1
2008063,112,30,2,21,0,0,102,204,26,50,149,27,228,0,0,1,0.99,0,0,0,1,0,0
